characterization_max_d,branch,detection_rank,posthoc_label,cluster
5,without PCA,1,unmatched,3
5,without PCA,2,2df7,3
5,without PCA,3,2df7,1
5,without PCA,4,2df7,1
5,without PCA,5,2df7,4
5,without PCA,6,2df7,1
5,without PCA,7,2df7,2
5,without PCA,8,2df7,1
5,without PCA,9,2df7,4
5,without PCA,10,2df7,4
5,without PCA,11,2df7,2
5,without PCA,12,2df7,4
5,without PCA,13,2df7,4
5,without PCA,14,1jz8,4
5,without PCA,15,1jz8,4
5,without PCA,16,1oao,6
5,without PCA,17,unmatched,1
5,without PCA,18,1fpy,2
5,without PCA,19,1e9r,2
5,without PCA,20,unmatched,1
5,without PCA,21,unmatched,1
5,without PCA,22,unmatched,2
5,without PCA,23,unmatched,4
5,without PCA,24,1fpy,0
5,without PCA,25,unmatched,4
5,without PCA,26,unmatched,2
5,without PCA,27,1fzg,1
5,without PCA,28,1e9r,1
5,without PCA,29,1oao,2
5,without PCA,30,unmatched,4
5,without PCA,31,1avo,6
5,without PCA,32,unmatched,4
5,without PCA,33,1fzg,2
5,without PCA,34,1oao,0
5,without PCA,35,1fzg,5
5,without PCA,36,unmatched,2
5,without PCA,37,1oao,0
5,without PCA,38,unmatched,4
5,without PCA,39,1fzg,6
5,without PCA,40,unmatched,6
5,without PCA,41,1avo,6
5,without PCA,42,1oao,2
5,without PCA,43,1fzg,6
5,without PCA,44,1avo,2
5,without PCA,45,unmatched,6
5,without PCA,46,1e9r,6
5,without PCA,47,1fpy,1
5,without PCA,48,unmatched,1
5,without PCA,49,1avo,6
5,without PCA,50,1oao,6
5,without PCA,51,1fzg,2
5,with PCA,1,unmatched,2
5,with PCA,2,2df7,2
5,with PCA,3,2df7,6
5,with PCA,4,2df7,6
5,with PCA,5,2df7,0
5,with PCA,6,2df7,6
5,with PCA,7,2df7,3
5,with PCA,8,2df7,6
5,with PCA,9,2df7,0
5,with PCA,10,2df7,6
5,with PCA,11,2df7,3
5,with PCA,12,2df7,0
5,with PCA,13,2df7,0
5,with PCA,14,1jz8,0
5,with PCA,15,1jz8,0
5,with PCA,16,1oao,1
5,with PCA,17,unmatched,6
5,with PCA,18,1fpy,3
5,with PCA,19,1e9r,3
5,with PCA,20,unmatched,6
5,with PCA,21,unmatched,6
5,with PCA,22,unmatched,3
5,with PCA,23,unmatched,0
5,with PCA,24,1fpy,5
5,with PCA,25,unmatched,0
5,with PCA,26,unmatched,0
5,with PCA,27,1fzg,6
5,with PCA,28,1e9r,6
5,with PCA,29,1oao,3
5,with PCA,30,unmatched,0
5,with PCA,31,1avo,1
5,with PCA,32,unmatched,0
5,with PCA,33,1fzg,3
5,with PCA,34,1oao,5
5,with PCA,35,1fzg,4
5,with PCA,36,unmatched,3
5,with PCA,37,1oao,5
5,with PCA,38,unmatched,0
5,with PCA,39,1fzg,1
5,with PCA,40,unmatched,1
5,with PCA,41,1avo,1
5,with PCA,42,1oao,3
5,with PCA,43,1fzg,1
5,with PCA,44,1avo,3
5,with PCA,45,unmatched,1
5,with PCA,46,1e9r,1
5,with PCA,47,1fpy,6
5,with PCA,48,unmatched,6
5,with PCA,49,1avo,1
5,with PCA,50,1oao,1
5,with PCA,51,1fzg,0
7,without PCA,1,unmatched,6
7,without PCA,2,2df7,4
7,without PCA,3,2df7,1
7,without PCA,4,2df7,1
7,without PCA,5,2df7,0
7,without PCA,6,2df7,1
7,without PCA,7,2df7,0
7,without PCA,8,2df7,1
7,without PCA,9,2df7,0
7,without PCA,10,2df7,1
7,without PCA,11,2df7,0
7,without PCA,12,2df7,1
7,without PCA,13,2df7,0
7,without PCA,14,1jz8,1
7,without PCA,15,1jz8,1
7,without PCA,16,1oao,2
7,without PCA,17,unmatched,1
7,without PCA,18,1fpy,5
7,without PCA,19,1e9r,0
7,without PCA,20,unmatched,1
7,without PCA,21,unmatched,1
7,without PCA,22,unmatched,0
7,without PCA,23,unmatched,0
7,without PCA,24,1fpy,2
7,without PCA,25,unmatched,0
7,without PCA,26,unmatched,1
7,without PCA,27,1fzg,1
7,without PCA,28,1e9r,1
7,without PCA,29,1oao,5
7,without PCA,30,unmatched,1
7,without PCA,31,1avo,2
7,without PCA,32,unmatched,0
7,without PCA,33,1fzg,5
7,without PCA,34,1oao,2
7,without PCA,35,1fzg,3
7,without PCA,36,unmatched,0
7,without PCA,37,1oao,2
7,without PCA,38,unmatched,0
7,without PCA,39,1fzg,2
7,without PCA,40,unmatched,2
7,without PCA,41,1avo,5
7,without PCA,42,1oao,5
7,without PCA,43,1fzg,5
7,without PCA,44,1avo,5
7,without PCA,45,unmatched,2
7,without PCA,46,1e9r,2
7,without PCA,47,1fpy,1
7,without PCA,48,unmatched,1
7,without PCA,49,1avo,5
7,without PCA,50,1oao,2
7,without PCA,51,1fzg,1
7,with PCA,1,unmatched,2
7,with PCA,2,2df7,4
7,with PCA,3,2df7,1
7,with PCA,4,2df7,1
7,with PCA,5,2df7,3
7,with PCA,6,2df7,1
7,with PCA,7,2df7,3
7,with PCA,8,2df7,1
7,with PCA,9,2df7,3
7,with PCA,10,2df7,1
7,with PCA,11,2df7,3
7,with PCA,12,2df7,1
7,with PCA,13,2df7,3
7,with PCA,14,1jz8,1
7,with PCA,15,1jz8,1
7,with PCA,16,1oao,0
7,with PCA,17,unmatched,1
7,with PCA,18,1fpy,6
7,with PCA,19,1e9r,3
7,with PCA,20,unmatched,1
7,with PCA,21,unmatched,1
7,with PCA,22,unmatched,3
7,with PCA,23,unmatched,3
7,with PCA,24,1fpy,0
7,with PCA,25,unmatched,3
7,with PCA,26,unmatched,1
7,with PCA,27,1fzg,1
7,with PCA,28,1e9r,1
7,with PCA,29,1oao,6
7,with PCA,30,unmatched,1
7,with PCA,31,1avo,0
7,with PCA,32,unmatched,3
7,with PCA,33,1fzg,6
7,with PCA,34,1oao,0
7,with PCA,35,1fzg,5
7,with PCA,36,unmatched,3
7,with PCA,37,1oao,0
7,with PCA,38,unmatched,3
7,with PCA,39,1fzg,0
7,with PCA,40,unmatched,0
7,with PCA,41,1avo,6
7,with PCA,42,1oao,6
7,with PCA,43,1fzg,6
7,with PCA,44,1avo,6
7,with PCA,45,unmatched,0
7,with PCA,46,1e9r,0
7,with PCA,47,1fpy,1
7,with PCA,48,unmatched,1
7,with PCA,49,1avo,6
7,with PCA,50,1oao,0
7,with PCA,51,1fzg,1
9,without PCA,1,unmatched,4
9,without PCA,2,2df7,0
9,without PCA,3,2df7,3
9,without PCA,4,2df7,5
9,without PCA,5,2df7,3
9,without PCA,6,2df7,5
9,without PCA,7,2df7,2
9,without PCA,8,2df7,3
9,without PCA,9,2df7,3
9,without PCA,10,2df7,5
9,without PCA,11,2df7,2
9,without PCA,12,2df7,3
9,without PCA,13,2df7,2
9,without PCA,14,1jz8,3
9,without PCA,15,1jz8,5
9,without PCA,16,1oao,1
9,without PCA,17,unmatched,5
9,without PCA,18,1fpy,1
9,without PCA,19,1e9r,2
9,without PCA,20,unmatched,5
9,without PCA,21,unmatched,5
9,without PCA,22,unmatched,3
9,without PCA,23,unmatched,3
9,without PCA,24,1fpy,2
9,without PCA,25,unmatched,3
9,without PCA,26,unmatched,5
9,without PCA,27,1fzg,5
9,without PCA,28,1e9r,3
9,without PCA,29,1oao,1
