characterization_max_d,branch,mapped_accuracy,ari,nmi,purity_including_unmatched,mean_stability_ARI,minimum_stability_ARI,mean_seed_mapped_accuracy,std_seed_mapped_accuracy,RPSD_seconds
5,without PCA,0.3611111111111111,0.07922308897849936,0.3772218151002218,0.37254901960784315,0.8064277549358373,0.591743466440003,0.37777777777777777,0.013608276348795441,1.0535712909913855
5,with PCA,0.3888888888888889,0.07030380149514871,0.3568871678834803,0.39215686274509803,1.0,1.0,0.3888888888888889,0.0,1.0535712909913855
7,without PCA,0.4166666666666667,0.1439806896110747,0.39398364492516136,0.43137254901960786,0.9928928775484607,0.9289287754846082,0.4166666666666667,0.0,1.0162032079970231
7,with PCA,0.4166666666666667,0.1439806896110747,0.3939836449251614,0.43137254901960786,0.9750440547077843,0.9576485273575653,0.4166666666666667,0.0,1.0162032079970231
9,without PCA,0.4166666666666667,0.09568411092043431,0.3351286154173081,0.45098039215686275,0.9935670479752947,0.9356704797529468,0.41388888888888886,0.008333333333333337,0.9874270830041496
9,with PCA,0.3888888888888889,0.07559047664126473,0.3228723186888548,0.45098039215686275,1.0,1.0,0.3888888888888889,0.0,0.9874270830041496
12,without PCA,0.4444444444444444,0.1765168160895575,0.4098125033711611,0.4117647058823529,0.9367186149118922,0.68972981435692,0.41944444444444445,0.02620550314460167,1.0590867920109304
12,with PCA,0.4444444444444444,0.1765168160895575,0.4098125033711611,0.4117647058823529,0.9806819575616338,0.9678032626027229,0.42777777777777776,0.013608276348795413,1.0590867920109304
15,without PCA,0.4166666666666667,0.1866209042356979,0.4377947058159106,0.45098039215686275,0.9778861890624739,0.8894309453123702,0.4166666666666667,0.0,1.1706636250019073
15,with PCA,0.4166666666666667,0.1866209042356979,0.4377947058159106,0.45098039215686275,1.0,1.0,0.4166666666666667,0.0,1.1706636250019073
