detection_rank,z,y,x,relative_detection_score,posthoc_label,match_distance_vox,cluster_without_pca,cluster_with_pca
1,66.0,70.0,70.0,1.0,unmatched,,2,2
2,60.0,58.0,48.0,0.029381021857261658,2df7,4.1933083533155635,5,6
3,75.0,77.0,27.0,0.023481888696551323,2df7,2.647637690933511,0,0
4,90.0,80.0,71.0,0.021642064675688744,2df7,3.1854973472156707,0,0
5,65.0,105.0,22.0,0.021402060985565186,2df7,2.380313682629219,6,3
6,107.0,24.0,22.0,0.020449906587600708,2df7,3.499840887586385,0,0
7,27.0,85.0,19.0,0.020344598218798637,2df7,3.1021091919712545,1,1
8,57.0,113.0,53.0,0.019487660378217697,2df7,6.371679386499582,0,0
9,35.0,113.0,75.0,0.018664129078388214,2df7,5.149334624303929,0,0
10,101.0,14.0,39.0,0.01860714517533779,2df7,5.182389379032896,0,0
11,61.0,33.0,102.0,0.017906980589032173,2df7,2.629217666028648,6,3
12,31.0,82.0,113.0,0.017413975670933723,2df7,5.139538694820437,0,0
13,113.0,103.0,20.0,0.01520240493118763,2df7,7.635044496342285,6,3
14,113.0,37.0,95.0,0.012438200414180756,1jz8,3.172493900726561,6,3
15,37.0,113.0,47.0,0.01227134745568037,1jz8,2.4965419293360567,4,4
16,53.0,61.0,16.0,0.00855652242898941,1oao,3.260880885099002,1,1
17,100.0,14.0,56.0,0.006634306162595749,unmatched,,0,0
18,88.0,57.0,106.0,0.0059246583841741085,1fpy,2.9985488773393256,4,4
19,90.0,53.0,22.0,0.005911501124501228,1e9r,1.7563296442929952,6,3
20,53.0,113.0,70.0,0.005636827554553747,unmatched,,0,0
21,36.0,17.0,14.0,0.005550425499677658,unmatched,,4,4
22,56.0,109.0,36.0,0.005260271951556206,unmatched,,1,1
23,67.0,90.0,15.0,0.004952498245984316,unmatched,,1,1
24,113.0,106.0,109.0,0.004832627717405558,1fpy,2.7419203158400736,1,1
25,61.0,66.0,30.0,0.004514692351222038,unmatched,,6,3
26,107.0,48.0,14.0,0.004223215393722057,unmatched,,0,0
27,44.0,68.0,53.0,0.0035368669778108597,1fzg,8.991445447966885,0,0
28,63.0,78.0,113.0,0.0034616789780557156,1e9r,8.124931855333113,0,0
29,79.0,28.0,19.0,0.0032727967482060194,1oao,4.533790368385152,1,1
30,91.0,65.0,79.0,0.002961399033665657,unmatched,,4,4
31,54.0,14.0,56.0,0.0029353683348745108,1avo,2.57068415911613,1,1
32,52.0,43.0,48.0,0.002767602913081646,unmatched,,1,1
33,69.0,34.0,39.0,0.0026942482218146324,1fzg,3.661671624687633,4,4
34,34.0,14.0,76.0,0.0025956174358725548,1oao,3.5058448404252536,1,1
35,39.0,36.0,111.0,0.002576526254415512,1fzg,4.199662512676687,3,5
36,51.0,90.0,113.0,0.0025643291883170605,unmatched,,1,1
37,93.0,39.0,113.0,0.00246556312777102,1oao,7.785627795091659,1,1
38,64.0,21.0,113.0,0.0024351009633392096,unmatched,,0,0
39,36.0,49.0,24.0,0.0023490518797188997,1fzg,3.740770291871035,1,1
40,78.0,33.0,98.0,0.002277156338095665,unmatched,,6,3
41,36.0,43.0,59.0,0.002253222046419978,1avo,2.544517333859316,1,1
42,113.0,44.0,72.0,0.002251962898299098,1oao,5.976051241547795,4,4
43,72.0,89.0,78.0,0.0022395558189600706,1fzg,7.528335919554721,4,4
44,30.0,99.0,87.0,0.0022350011859089136,1avo,2.773872820287313,1,1
45,39.0,73.0,99.0,0.0021537579596042633,unmatched,,1,1
46,59.0,113.0,89.0,0.002126467414200306,1e9r,8.591452210157799,6,3
47,101.0,14.0,76.0,0.001999814296141267,1fpy,8.256536819153297,0,0
48,38.0,74.0,37.0,0.001987501047551632,unmatched,,4,4
49,59.0,33.0,79.0,0.0019814306870102882,1avo,2.4053744692759293,1,1
50,53.0,111.0,113.0,0.0019620538223534822,1oao,5.52985677072981,4,4
51,65.0,90.0,60.0,0.0018878111150115728,1fzg,6.887531153740773,4,4
