max_d,class,diameter_vox,available_gt,matched,recall,mean_distance_vox,max_distance_vox
7,1avo,18,8,4,0.5,2.573612195634672,2.773872820287313
7,1e9r,21,5,3,0.6,6.157571236594635,8.591452210157799
7,1fpy,18,4,3,0.75,4.665668670777565,8.256536819153297
7,1fzg,28,9,6,0.6666666666666666,5.834902825082955,8.991445447966885
7,1jz8,20,4,2,0.5,2.834517915031309,3.172493900726561
7,1oao,20,9,6,0.6666666666666666,5.098675316879779,7.785627795091659
7,2df7,33,12,12,1.0,4.259659283389948,7.635044496342285
9,1avo,18,8,4,0.5,2.573612195634672,2.773872820287313
9,1e9r,21,5,3,0.6,6.157571236594635,8.591452210157799
9,1fpy,18,4,3,0.75,4.665668670777565,8.256536819153297
9,1fzg,28,9,6,0.6666666666666666,5.874499345354487,8.991445447966885
9,1jz8,20,4,2,0.5,2.834517915031309,3.172493900726561
9,1oao,20,9,6,0.6666666666666666,5.098675316879779,7.785627795091659
9,2df7,33,12,12,1.0,4.3547760050308675,7.635044496342285
12,1avo,18,8,5,0.625,4.503639041789923,8.464820915132172
12,1e9r,21,5,2,0.4,4.835112545929129,8.01464101950529
12,1fpy,18,4,2,0.5,3.805669030252039,4.046615167574704
12,1fzg,28,9,6,0.6666666666666666,5.971250748847335,13.985978473593121
12,1jz8,20,4,3,0.75,4.011295296011156,6.364850057970849
12,1oao,20,9,5,0.5555555555555556,5.5850999875715654,7.865702935469556
12,2df7,33,12,12,1.0,4.41549008687506,7.635044496342285
15,1avo,18,8,2,0.25,3.0140729244224422,3.1160368844707196
15,1e9r,21,5,2,0.4,5.3195725882308444,8.01464101950529
15,1fpy,18,4,2,0.5,2.7400362969089436,2.9985488773393256
15,1fzg,28,9,5,0.5555555555555556,4.415443980155695,7.528335919554721
15,1jz8,20,4,3,0.75,3.9849476694763304,6.364850057970849
15,1oao,20,9,5,0.5555555555555556,5.212715082599151,7.813354964151345
15,2df7,33,12,12,1.0,4.388997866378396,7.635044496342285
