rank,raw_score,normalized_score,robust_normalized_score,matched,posthoc_class,match_distance_vox
1,419040.78,1.0,43.75153,False,unmatched,
2,12311.836,0.029380998,1.2854636,True,2df7,4.1933083533155635
3,9839.872,0.023481896,1.0273689,True,2df7,2.647637690933511
4,9068.897,0.02164204,0.94687235,True,2df7,3.1854973472156707
5,8968.336,0.02140206,0.9363729,True,2df7,2.380313682629219
6,8569.337,0.020449888,0.8947139,True,2df7,3.499840887586385
7,8525.218,0.020344602,0.89010745,True,2df7,3.1021091919712545
8,8166.12,0.01948765,0.85261446,True,2df7,6.371679386499582
9,7821.0264,0.018664118,0.8165837,True,2df7,5.149334624303929
10,7797.1514,0.018607141,0.8140909,True,2df7,5.182389379032896
11,7503.758,0.017906986,0.78345805,True,2df7,2.629217666028648
12,7297.167,0.017413978,0.76188815,True,2df7,5.139538694820437
13,6370.426,0.0152024,0.6651283,True,2df7,7.635044496342285
14,5212.1094,0.012438191,0.5441899,True,1jz8,3.172493900726561
15,5142.1934,0.012271344,0.53689003,True,1jz8,2.4965419293360567
16,3585.5325,0.008556524,0.374361,True,1oao,3.260880885099002
17,2780.044,0.006634304,0.29026094,False,unmatched,
18,2482.6738,0.0059246593,0.2592129,True,1fpy,2.9985488773393256
19,2477.159,0.0059114983,0.2586371,True,1e9r,1.7563296442929952
20,2362.0598,0.0056368257,0.24661975,False,unmatched,
21,2325.854,0.005550424,0.24283953,False,unmatched,
22,2204.2683,0.0052602715,0.23014492,False,unmatched,
23,2075.2986,0.004952498,0.21667935,False,unmatched,
24,2025.071,0.0048326347,0.21143515,True,1fpy,2.7419203158400736
25,1891.8384,0.004514688,0.1975245,False,unmatched,
26,1769.6997,0.004223216,0.18477215,False,unmatched,
27,1482.0925,0.0035368695,0.15474345,True,1fzg,8.991445447966885
28,1450.5837,0.0034616769,0.15145366,True,1e9r,8.124931855333113
29,1371.4355,0.0032727972,0.14318989,True,1oao,4.533790368385152
30,1240.9487,0.0029614032,0.12956592,False,unmatched,
31,1230.0383,0.0029353667,0.12842678,True,1avo,2.57068415911613
32,1159.7385,0.002767603,0.121086866,False,unmatched,
33,1128.9988,0.0026942457,0.117877364,True,1fzg,3.661671624687633
34,1087.6692,0.0025956165,0.1135622,True,1oao,3.5058448404252536
35,1079.6704,0.0025765283,0.11272705,True,1fzg,4.199662512676687
36,1074.5579,0.0025643276,0.11219326,False,unmatched,
37,1033.1726,0.0024655657,0.10787227,True,1oao,7.785627795091659
38,1020.4065,0.0024351007,0.106539376,False,unmatched,
39,984.34937,0.002349054,0.1027747,True,1fzg,3.740770291871035
40,954.22095,0.0022771554,0.09962903,False,unmatched,
41,944.19214,0.0022532225,0.09858193,True,1avo,2.544517333859316
42,943.6653,0.0022519652,0.098526925,True,1oao,5.976051241547795
43,938.4651,0.0022395556,0.09798398,True,1fzg,7.528335919554721
